transactions_id,sale_date,customer_id,gender,age,category,quantiy,price_per_unit,cogs,total_sale,sale_time
180,2022-11-05,117,Male,41,Clothing,3,300,129,900,10:47:00
522,2022-07-09,52,Male,46,Beauty,3,500,145,1500,11:00:00
559,2022-12-12,5,Female,40,Clothing,4,300,84,1200,10:48:00
1180,2022-01-06,85,Male,41,Clothing,3,300,129,900,08:53:00
1522,2022-11-14,48,Male,46,Beauty,3,500,235,1500,08:35:00
1559,2022-08-20,49,Female,40,Clothing,4,300,144,1200,07:40:00
163,2022-10-31,144,Female,64,Clothing,3,50,23,150,09:38:00
303,2022-04-22,54,Male,19,Electronics,3,30,14.7,90,11:09:00
421,2022-04-08,66,Female,37,Clothing,3,500,235,1500,08:43:00
979,2022-05-18,6,Female,19,Beauty,1,25,10.5,25,10:18:00
1163,2022-05-04,120,Female,64,Clothing,3,50,27,150,10:52:00
1303,2022-03-19,58,Male,19,Electronics,3,30,15,90,08:59:00
1421,2022-01-17,59,Female,37,Clothing,3,500,185,1500,07:07:00
1979,2022-08-17,102,Female,19,Beauty,1,25,7.75,25,11:34:00
610,2022-12-18,137,Female,26,Beauty,2,300,93,600,06:56:00
1610,2022-11-23,1,Female,26,Beauty,2,300,102,600,10:18:00
32,2022-07-16,150,Male,30,Beauty,3,30,8.4,90,09:11:00
231,2022-07-09,50,Female,23,Clothing,3,50,26.5,150,07:02:00
683,2022-03-06,82,Male,38,Beauty,2,500,175,1000,10:22:00
1032,2022-04-01,1,Male,30,Beauty,3,30,10.5,90,08:15:00
1231,2022-01-29,12,Female,23,Clothing,3,50,23,150,07:05:00
1683,2022-05-04,98,Male,38,Beauty,2,500,220,1000,07:19:00
367,2022-12-30,123,Female,57,Electronics,1,50,18,50,07:03:00
391,2022-03-25,68,Male,19,Beauty,2,25,6.25,50,07:37:00
432,2022-03-10,17,Female,,Electronics,2,500,190,1000,11:31:00
1367,2022-04-15,16,Female,,Electronics,1,50,15.5,50,11:38:00
1391,2022-03-01,130,Male,,Beauty,2,25,9.25,50,11:29:00
1432,2022-12-25,67,Female,,Electronics,2,500,245,1000,06:24:00
150,2022-04-13,89,Female,,Electronics,4,30,16.2,120,08:25:00
845,2022-10-27,25,Male,,Clothing,1,500,145,500,10:12:00
1150,2022-08-22,77,Female,,Electronics,4,30,10.2,120,10:04:00
1845,2022-05-24,94,Male,,Clothing,1,500,185,500,07:06:00
797,2022-09-16,116,Male,,Clothing,3,25,10.75,75,06:38:00
921,2022-09-28,101,Male,,Electronics,3,25,8,75,09:34:00
1797,2022-04-16,147,Male,40,Clothing,3,25,12.25,75,11:47:00
1921,2022-02-08,77,Male,51,Electronics,3,25,7.5,75,07:01:00
291,2022-11-22,15,Male,60,Clothing,2,300,126,600,08:29:00
907,2022-09-02,145,Female,45,Electronics,1,25,8.5,25,06:16:00
1291,2022-04-04,72,Male,60,Clothing,2,300,153,600,11:19:00
1907,2022-11-17,115,Female,45,Electronics,1,25,9,25,11:21:00
860,2022-04-11,85,Male,63,Clothing,4,50,16,200,08:58:00
1860,2022-03-12,57,Male,63,Clothing,4,50,18,200,11:21:00
184,2022-02-13,128,Male,31,Electronics,4,50,17,200,06:44:00
734,2022-03-12,77,Female,27,Clothing,1,30,15.6,30,08:54:00
1184,2022-02-12,23,Male,31,Electronics,4,50,27.5,200,08:28:00
